community	viewpoint	alpha	rho	beta	gamma	normalized_alpha	normalized_rho	normalized_beta
subcommunity_1	2.00	2.8947	1.9194	0.5210	1.4745	1.3158	0.8724	1.1462
subcommunity_2	2.00	2.4444	1.6587	0.6029	1.4570	1.3333	0.9047	1.1053
metacommunity	2.00	2.6304	1.7678	0.5627	1.4649	1.3253	0.8898	1.1235
subcommunity_1	101.00	2.7641	1.6836	0.5940	1.2908	1.2564	0.7653	1.3067
subcommunity_2	101.00	2.1608	1.5610	0.6406	1.2814	1.1786	0.8515	1.1744
metacommunity	101.00	2.1739	1.5705	0.5987	1.2849	1.1858	0.7713	1.1816
subcommunity_1	102.00	2.7500	1.6750	0.5970	1.2791	1.2500	0.7614	1.3134
subcommunity_2	102.00	2.1569	1.5333	0.6522	1.2791	1.1765	0.8364	1.1957
metacommunity	102.00	2.1569	1.5333	0.5970	1.2791	1.1765	0.7614	1.1957
subcommunity_1	inf	2.7500	1.6750	0.5970	1.2791	1.2500	0.7614	1.3134
subcommunity_2	inf	2.1569	1.5333	0.6522	1.2791	1.1765	0.8364	1.1957
metacommunity	inf	2.1569	1.5333	0.5970	1.2791	1.1765	0.7614	1.1957
