,community,viewpoint,alpha,rho,beta,gamma,normalized_alpha,normalized_rho,normalized_beta,rho_hat,beta_hat
0,metacommunity,0.0,95.58699251612506,10.667687661607516,0.25673374640086727,11.666278765857658,10.439686509824668,0.9942544710749758,1.0070840664267902,0.8056406384672928,0.19479489193427285
1,0,0.0,6072.811773818745,1665.0192075897432,0.0006005936720979843,3.648905280499119,1.214562354763749,0.3330038415179487,3.002968360489921,138.66826729914527,-0.08268269018856052
2,1,0.0,8071.70542635659,1121.68735139287,0.0008915140201574324,9.026256564848813,3.2286821705426356,0.448674940557148,2.2287850503935807,93.39061261607249,-0.08236752647816278
3,2,0.0,5130.0566190086065,696.0430506254551,0.0014366927435040307,9.043592561781717,4.104045295206885,0.5568344405003641,1.795865929380038,57.920254218787925,-0.0817769161945373
4,3,0.0,2980.7359709568873,439.34347063210777,0.0022761235043763017,7.194545316438519,4.769177553531021,0.7029495530113725,1.4225771902351885,36.52862255267565,-0.08086753287025901
5,4,0.0,2144.744924183185,249.97286269174208,0.004000434244068987,15.54487801686141,6.863183757386193,0.799913160613575,1.250135701271558,20.747738557645174,-0.07899952956892527
6,5,0.0,1098.1865380654162,141.1251135435112,0.0070859110394386575,7.837574376216814,7.028393843618666,0.9032007266784726,1.1071735999122891,11.6770927952926,-0.07565692970727479
7,6,0.0,681.6085114495169,74.35594176629807,0.013448824347394,10.303825693822098,8.724588946553824,0.951756054608616,1.0506894021401556,6.112995147191506,-0.0687637736236565
8,7,0.0,373.778613139457,38.56850047934147,0.02592789420308503,11.121551141539566,9.568732496370105,0.9873536122711423,1.0128083673080084,3.130708373278456,-0.05524478127999122
9,8,0.0,186.47169139142366,19.41479872445516,0.05150710106205662,9.77071457467061,9.547350599240911,0.9940376946921046,1.0059980676182931,1.5345665603712633,-0.027533973849438658
10,9,0.0,92.3906873604378,9.846631896930539,0.10155756917365084,9.351145755630146,9.46080638570885,1.0082951062456882,0.9917731364614331,0.7372193247442116,0.026687366604788414
11,10,0.0,42.72277383300404,4.8381930102791415,0.20668873645086444,8.869339006088211,8.74962408099923,0.9908619285051703,1.0092223459514844,0.3198494175232618,0.1405794644884365
12,11,0.0,28.9720602940068,2.448141048713944,0.40847319664253795,14.038809161615943,11.866955896425223,1.0027585735532327,0.99724901524057,0.12067842072616201,0.3591792963627494
13,12,0.0,57.79496760098254,5.458828888688869,0.1831894753235589,11.613993365797743,10.46088913577783,0.9880480288526863,1.012096548748943,0.37156907405740575,0.11512193160052216
14,metacommunity,1.0,37.64296571877561,4.949827402167964,0.20202724635651187,7.6049047088568225,7.551363165644628,0.9929596036686917,1.0070903149587314,0.3013926592829172,
15,0,1.0,6072.811773818744,1664.6511654603391,0.0006007264589416018,3.648098712705002,1.2145623547637492,0.3329302330920679,3.0036322947080087,138.63759712169494,-0.08268254633614659
16,1,1.0,7980.518120858126,969.5511633915214,0.0010314050849075025,8.231146970049537,3.1922072483432498,0.3878204653566085,2.578512712268757,80.71259694929346,-0.08221597782468354
17,2,1.0,5031.5047272065285,646.2347475993075,0.001547425302825161,7.785877726163788,4.025203781765222,0.516987798079446,1.9342816285314517,53.769562299942294,-0.0816569559219394
18,3,1.0,2755.1987168929677,436.19912715553687,0.0022925309514510487,6.316378335875347,4.40831794702875,0.6979186034488591,1.4328318446569053,36.26659392962807,-0.08084975813592803
19,4,1.0,1873.6069335330812,238.56660954903325,0.004191701436719573,7.853600875138374,5.995542187305862,0.7634131505569064,1.3099066989748664,19.797217462419436,-0.07879232344355379
20,5,1.0,984.800134436733,140.3349485887008,0.007125808717334122,7.017497382801093,6.302720860395094,0.8981436709676857,1.113407612083456,11.611245715725067,-0.07561370722288803
21,6,1.0,571.5238203445283,73.86233892937935,0.013538699349286946,7.737689174600446,7.3155049004099695,0.9454379382960572,1.057710886663041,6.071861577448279,-0.06866640903827248
22,7,1.0,300.92730352812663,38.44216393690338,0.026013103779520295,7.828053176768374,7.703738970320081,0.9841193967847287,1.0161368663875092,3.1201803280752816,-0.05515247090551969
23,8,1.0,148.1953082125836,19.404154496825452,0.05153535549119656,7.637297890862905,7.587599780484282,0.9934927102374613,1.0065499119374346,1.533679541402121,-0.027503364884537057
24,9,1.0,75.13449036968382,9.84021538826368,0.10162379181178183,7.635451807213116,7.69377181385567,1.0076380557582025,0.9924198419119301,0.73668461568864,0.02675910779609697
25,10,1.0,36.248269166083006,4.837056443856514,0.20673730224299694,7.493869378374018,7.423645525213772,0.9906291597018152,1.0094594836083823,0.3197547036547095,0.14063207742991335
26,11,1.0,18.736668391606354,2.4476311372836173,0.40855829326873194,7.655021259616903,7.67453937320197,1.0025497138313701,0.9974567706756146,0.1206359281069681,0.3592714843744596
27,12,1.0,41.392374582936526,5.4568007869715816,0.18325756043496333,7.58546558667914,7.492019799511537,0.9876809424418551,1.0124727095854338,0.3714000655809651,0.11519569047121025
28,metacommunity,inf,7.646871126242069,1.0,0.0006134921708270079,3.1230052635927,1.214562354763749,0.11652242423125171,1.1533940635629962,0.0,-0.08266871681493741
29,0,inf,6072.811773818745,1630.0126514279175,0.0006134921708270079,3.572188082854365,1.214562354763749,0.32600253028558357,3.0674608541350388,135.7510542856598,-0.08266871681493741
30,1,inf,6976.7441860465115,443.40945517576114,0.0022552518633226133,4.862555011724195,2.7906976744186047,0.17736378207030445,5.638129658306533,36.86745459798009,-0.08089014381473383
31,2,inf,3481.572821590047,284.41264132155567,0.0035160181184401167,3.75721430493383,2.7852582572720377,0.22753011305724455,4.395022648050146,23.61772011012964,-0.0795243137050232
32,3,inf,1673.6401673640164,313.75048272103993,0.0031872460922685317,3.307567480086998,2.6778242677824275,0.5020007723536639,1.9920288076678323,26.062540226753327,-0.07988048340004243
33,4,inf,1030.4761570950384,36.41325757226616,0.02746252509859599,3.622008270993963,3.297523702704124,0.11652242423125171,8.582039093311248,2.951104797688847,-0.05358226447652101
34,5,inf,476.6705398399874,114.15021261578818,0.008760386661440958,3.4813408684052294,3.050691454975918,0.7305613607410445,1.3688104158501493,9.429184384649014,-0.07384291445010563
35,6,inf,268.9905990530433,38.1637568929073,0.026202871033010094,3.34812745551026,3.4430796678789526,0.4884960882292136,2.047099299453913,3.0969797410756086,-0.05494688971423906
36,7,inf,131.58471721639282,15.173495946374786,0.06590439036159743,3.286336606750801,3.368568760739657,0.3884414962271946,2.5743902484998986,1.1811246621978988,-0.011936910441602786
37,8,inf,64.11514254994125,15.959865604724051,0.06265716922478372,3.253776280717176,3.2826952985569906,0.8171451189618719,1.2237728364215563,1.2466554670603376,-0.015454733339817636
38,9,inf,31.20713948432593,8.46685908008977,0.1181075521088509,3.1574011476173713,3.1956110831949727,0.8670063698011932,1.1533940635629962,0.6222382566741476,0.04461651478458848
39,10,inf,15.354096266634766,4.086815159202948,0.24468931455050932,3.1783285936937737,3.1445189154067985,0.8369797446047642,1.1947720437036582,0.25723459660024567,0.18174675742971844
40,11,inf,7.646871126242069,1.0,1.0,3.1234489926806526,3.132158413308749,0.4096000000000001,2.4414062499999996,0.0,1.0
41,12,inf,17.137026861410543,2.9528061224489797,0.3386609071274298,3.1230052635927,3.101801861915309,0.5344579081632655,1.871054735510661,0.16273384353741496,0.2835493160547156
